General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\tensile.im_tens","2/1/2022 9:49 AM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 3-29_20220201_094956.is_tens","wm 3-29","<None>","<None>","","10","5.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's),Tensile strain (Displacement) at Yield (Zero slope),Tensile strain (Displacement) at Break (Standard)
,,,,(mm),(mm),(mm),(MPa),(%),(%)
1,"<None>","1","<None>","14.62","0.89","1.66","4.61","-----","47.11"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-0.67537"
"0.020000","0.00000","-0.38344"
"0.040000","0.000010125","0.15349"
"0.060000","0.00056681","1.8508"
"0.080000","0.0048733","9.1576"
"0.10000","0.010814","15.227"
"0.12000","0.017718","26.498"
"0.14000","0.031996","46.104"
"0.16000","0.051909","65.719"
"0.18000","0.071164","80.822"
"0.20000","0.087802","92.809"
"0.22000","0.10278","102.60"
"0.24000","0.11743","112.66"
"0.26000","0.13240","123.31"
"0.28000","0.14750","132.43"
"0.30000","0.16233","142.13"
"0.32000","0.17701","151.59"
"0.34000","0.19200","160.12"
"0.36000","0.20702","169.71"
"0.38000","0.22180","178.05"
"0.40000","0.23649","186.35"
"0.42000","0.25133","195.11"
"0.44000","0.26579","202.35"
"0.46000","0.28010","209.62"
"0.48000","0.29474","218.51"
"0.50000","0.30956","225.99"
"0.52000","0.32440","233.55"
"0.54000","0.33911","241.23"
"0.56000","0.35381","247.90"
"0.58000","0.36834","255.12"
"0.60000","0.38278","261.99"
"0.62000","0.39732","268.99"
"0.64000","0.41186","275.47"
"0.66000","0.42620","281.32"
"0.68000","0.44017","287.85"
"0.70000","0.45463","294.31"
"0.72000","0.46962","301.15"
"0.74000","0.48463","308.03"
"0.76000","0.49931","314.21"
"0.78000","0.51399","320.29"
"0.80000","0.52885","326.52"
"0.82000","0.54349","332.89"
"0.84000","0.55820","338.71"
"0.86000","0.57279","344.77"
"0.88000","0.58751","350.69"
"0.90000","0.60211","356.00"
"0.92000","0.61673","362.20"
"0.94000","0.63156","368.47"
"0.96000","0.64624","373.56"
"0.98000","0.66076","379.04"
"1.0000","0.67506","384.89"
"1.0200","0.68970","390.03"
"1.0400","0.70416","395.41"
"1.0600","0.71845","400.90"
"1.0800","0.73285","406.01"
"1.1000","0.74745","411.59"
"1.1200","0.76208","417.21"
"1.1400","0.77664","422.21"
"1.1600","0.79143","428.64"
"1.1800","0.80631","433.49"
"1.2000","0.82107","438.86"
"1.2200","0.83575","444.72"
"1.2400","0.85052","449.12"
"1.2600","0.86517","455.08"
"1.2800","0.87953","459.72"
"1.3000","0.89408","464.52"
"1.3200","0.90894","470.99"
"1.3400","0.92379","475.13"
"1.3600","0.93838","480.24"
"1.3800","0.95291","486.16"
"1.4000","0.96761","489.96"
"1.4200","0.98208","495.50"
"1.4400","0.99643","500.57"
"1.4600","1.0109","504.84"
"1.4800","1.0255","510.93"
"1.5000","1.0400","515.13"
"1.5200","1.0545","520.04"
"1.5400","1.0693","525.82"
"1.5600","1.0841","530.04"
"1.5800","1.0988","535.13"
"1.6000","1.1133","540.25"
"1.6200","1.1280","544.44"
"1.6400","1.1427","549.98"
"1.6600","1.1574","554.97"
"1.6800","1.1723","559.47"
"1.7000","1.1870","565.10"
"1.7200","1.2016","569.02"
"1.7400","1.2162","574.16"
"1.7600","1.2309","579.59"
"1.7800","1.2456","583.06"
"1.8000","1.2601","588.60"
"1.8200","1.2745","593.18"
"1.8400","1.2891","597.09"
"1.8600","1.3036","602.18"
"1.8800","1.3178","606.14"
"1.9000","1.3323","611.30"
"1.9200","1.3471","616.11"
"1.9400","1.3616","620.71"
"1.9600","1.3762","625.94"
"1.9800","1.3911","630.70"
"2.0000","1.4059","635.12"
"2.0200","1.4203","639.81"
"2.0400","1.4350","644.25"
"2.0600","1.4500","649.77"
"2.0770","1.4626","653.64"
"2.0780","1.4634","653.80"
"2.0980","1.4774","653.67"
"2.1180","1.4848","647.21"
"2.1380","1.4823","631.76"
"2.1580","1.4737","619.71"
"2.1780","1.4648","605.01"
"2.1980","1.4514","587.18"
"2.2180","1.4336","570.79"
"2.2380","1.4155","556.41"
"2.2580","1.3992","544.25"
"2.2780","1.3841","534.11"
"2.2980","1.3694","523.32"
"2.3180","1.3545","513.67"
"2.3380","1.3398","504.39"
"2.3580","1.3250","494.33"
"2.3780","1.3102","485.67"
"2.3980","1.2954","476.79"
"2.4180","1.2808","467.25"
"2.4380","1.2660","459.25"
"2.4580","1.2512","450.43"
"2.4780","1.2364","441.41"
"2.4980","1.2216","433.61"
"2.5180","1.2068","425.28"
"2.5380","1.1920","417.34"
"2.5580","1.1775","409.56"
"2.5780","1.1628","401.12"
"2.5980","1.1482","393.84"
"2.6180","1.1334","385.69"
"2.6380","1.1187","377.47"
"2.6580","1.1040","371.27"
"2.6780","1.0897","363.11"
"2.6980","1.0754","356.22"
"2.7180","1.0610","349.36"
"2.7380","1.0463","340.49"
"2.7580","1.0318","334.06"
"2.7780","1.0173","326.58"
"2.7980","1.0024","318.13"
"2.8180","0.98758","312.11"
"2.8380","0.97305","304.23"
"2.8580","0.95864","296.89"
"2.8780","0.94386","290.24"
"2.8980","0.92896","281.97"
"2.9180","0.91425","275.48"
"2.9380","0.89967","268.55"
"2.9580","0.88490","260.84"
"2.9780","0.87031","254.47"
"2.9980","0.85582","246.99"
"3.0180","0.84134","240.07"
"3.0380","0.82657","233.76"
"3.0580","0.81195","225.97"
"3.0780","0.79744","219.83"
"3.0980","0.78286","212.87"
"3.1180","0.76823","205.97"
"3.1380","0.75368","199.47"
"3.1580","0.73926","192.24"
"3.1780","0.72473","185.98"
"3.1980","0.71026","178.78"
"3.2180","0.69562","172.11"
"3.2380","0.68107","165.33"
"3.2580","0.66617","157.94"
"3.2780","0.65135","151.37"
"3.2980","0.63658","144.92"
"3.3180","0.62192","137.44"
"3.3380","0.60718","131.27"
"3.3580","0.59236","124.30"
"3.3780","0.57784","117.74"
"3.3980","0.56322","111.54"
"3.4180","0.54865","103.86"
"3.4380","0.53389","97.956"
"3.4580","0.51929","91.347"
"3.4780","0.50466","84.446"
"3.4980","0.49017","78.446"
"3.5180","0.47567","71.359"
"3.5380","0.46110","64.925"
"3.5580","0.44652","58.850"
"3.5780","0.43202","51.723"
"3.5980","0.41782","46.145"
"3.6180","0.40344","39.618"
"3.6380","0.38875","32.146"
"3.6580","0.37395","25.953"
"3.6780","0.35908","18.703"
"3.6980","0.34420","12.063"
"3.7180","0.32948","6.2466"
"3.7380","0.31485","-0.89544"
"3.7580","0.30023","-7.5096"
"3.7780","0.28548","-13.460"
"3.7980","0.27085","-20.484"
"3.8180","0.25629","-26.434"
"3.8380","0.24187","-32.783"
"3.8580","0.22716","-39.753"
"3.8780","0.21251","-45.602"
"3.8980","0.19816","-51.511"
"3.9180","0.18378","-58.296"
"3.9380","0.16900","-64.540"
"3.9580","0.15404","-71.536"
"3.9780","0.13941","-77.117"
"3.9980","0.12505","-82.774"
"4.0180","0.11080","-88.815"
"4.0380","0.096238","-94.295"
"4.0580","0.081627","-100.66"
"4.0780","0.066730","-106.39"
"4.0980","0.051957","-111.84"
"4.1180","0.037234","-117.08"
"4.1380","0.022539","-122.22"
"4.1580","0.0078699","-126.57"
"4.1690","-0.00019658","-129.11"
"4.1700","-0.00092912","-129.28"
"4.1900","-0.015004","-128.83"
"4.2100","-0.022518","-119.42"
"4.2300","-0.019941","-102.64"
"4.2500","-0.011776","-88.924"
"4.2700","-0.0037270","-73.047"
"4.2900","0.0095326","-53.486"
"4.3100","0.027791","-34.187"
"4.3300","0.046308","-18.537"
"4.3500","0.062946","-4.9654"
"4.3700","0.078213","6.6623"
"4.3900","0.093217","17.135"
"4.4100","0.10791","27.827"
"4.4300","0.12261","38.698"
"4.4500","0.13742","48.593"
"4.4700","0.15219","58.647"
"4.4900","0.16675","68.656"
"4.5100","0.18150","78.030"
"4.5300","0.19670","88.469"
"4.5500","0.21171","97.420"
"4.5700","0.22628","106.32"
"4.5900","0.24077","115.74"
"4.6100","0.25556","123.86"
"4.6300","0.27006","132.65"
"4.6500","0.28453","141.03"
"4.6700","0.29919","149.25"
"4.6900","0.31406","158.38"
"4.7100","0.32894","166.31"
"4.7300","0.34369","174.33"
"4.7500","0.35843","182.64"
"4.7700","0.37290","189.55"
"4.7900","0.38745","197.96"
"4.8100","0.40201","204.98"
"4.8300","0.41653","212.38"
"4.8500","0.43069","219.70"
"4.8700","0.44479","226.15"
"4.8900","0.45945","234.91"
"4.9100","0.47442","241.81"
"4.9300","0.48946","249.31"
"4.9500","0.50416","257.23"
"4.9700","0.51890","263.36"
"4.9900","0.53361","271.00"
"5.0100","0.54821","277.41"
"5.0300","0.56293","283.68"
"5.0500","0.57759","292.10"
"5.0700","0.59229","297.73"
"5.0900","0.60673","304.45"
"5.1100","0.62150","311.80"
"5.1300","0.63641","317.48"
"5.1500","0.65103","325.12"
"5.1700","0.66539","330.82"
"5.1900","0.67972","336.63"
"5.2100","0.69438","344.03"
"5.2300","0.70879","349.35"
"5.2500","0.72317","355.72"
"5.2700","0.73759","361.29"
"5.2900","0.75218","366.95"
"5.3100","0.76681","374.40"
"5.3300","0.78146","380.89"
"5.3500","0.79631","386.81"
"5.3700","0.81110","393.30"
"5.3900","0.82582","399.56"
"5.4100","0.84045","404.58"
"5.4300","0.85527","411.55"
"5.4500","0.86985","417.25"
"5.4700","0.88427","422.44"
"5.4900","0.89891","429.24"
"5.5100","0.91376","434.52"
"5.5300","0.92852","440.77"
"5.5500","0.94305","446.35"
"5.5700","0.95774","452.03"
"5.5900","0.97237","458.00"
"5.6100","0.98676","462.70"
"5.6300","1.0010","468.62"
"5.6500","1.0156","474.70"
"5.6700","1.0302","479.61"
"5.6900","1.0447","485.67"
"5.7100","1.0593","491.48"
"5.7300","1.0741","496.79"
"5.7500","1.0889","503.04"
"5.7700","1.1034","506.94"
