General : Method name,General : Method saved date,General : Sample File Name,Sample text inputs : Polymer batch,Sample choice input : Sample choice input  1,Sample choice input : Sample choice input  2,Sample notes : Sample Description,Precycling : Cycles,Precycling : Rate,Test : Rate 1
,,,,,,,,(%/s),(%/s)
"C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\tensile.im_tens","2/1/2022 9:49 AM","C:\Users\Public\Documents\Instron\Bluehill Universal\Output\Warrick\wm 3-29_20220201_094956.is_tens","wm 3-29","<None>","<None>","","10","5.00","3.00"

Results Table 1
,Sample Type,Specimen ID,Specimen Thickness,Length,Thickness,Width,Modulus (Automatic Young's),Tensile strain (Displacement) at Yield (Zero slope),Tensile strain (Displacement) at Break (Standard)
,,,,(mm),(mm),(mm),(MPa),(%),(%)
3,"<None>","3","<None>","11.91","1.02","1.63","4.01","41.52","42.84"

Time,Displacement,Force
(s),(mm),(mN)
"0.00000","0.00000","-2.8141"
"0.020000","0.00000","-1.9390"
"0.040000","0.000011826","-1.8412"
"0.060000","0.00041258","-0.50542"
"0.080000","0.0034752","4.8725"
"0.10000","0.0080609","7.8152"
"0.12000","0.011826","14.842"
"0.14000","0.020539","28.362"
"0.16000","0.036276","45.599"
"0.18000","0.054171","62.537"
"0.20000","0.070123","73.672"
"0.22000","0.083417","83.368"
"0.24000","0.095521","91.686"
"0.26000","0.10747","99.293"
"0.28000","0.11945","107.71"
"0.30000","0.13128","115.89"
"0.32000","0.14314","123.39"
"0.34000","0.15529","131.90"
"0.36000","0.16759","139.68"
"0.38000","0.17946","146.69"
"0.40000","0.19128","154.70"
"0.42000","0.20315","161.91"
"0.44000","0.21503","169.39"
"0.46000","0.22696","176.23"
"0.48000","0.23853","182.91"
"0.50000","0.25022","190.35"
"0.52000","0.26225","197.29"
"0.54000","0.27442","204.44"
"0.56000","0.28647","211.26"
"0.58000","0.29841","217.67"
"0.60000","0.31031","224.73"
"0.62000","0.32235","231.27"
"0.64000","0.33427","237.68"
"0.66000","0.34589","244.06"
"0.68000","0.35784","250.44"
"0.70000","0.36983","257.18"
"0.72000","0.38188","263.51"
"0.74000","0.39400","269.95"
"0.76000","0.40581","276.14"
"0.78000","0.41761","281.31"
"0.80000","0.42966","288.07"
"0.82000","0.44174","294.54"
"0.84000","0.45370","300.28"
"0.86000","0.46571","306.84"
"0.88000","0.47746","311.92"
"0.90000","0.48933","317.44"
"0.92000","0.50118","323.78"
"0.94000","0.51272","328.69"
"0.96000","0.52445","334.54"
"0.98000","0.53618","340.47"
"1.0000","0.54803","345.95"
"1.0200","0.56000","351.94"
"1.0400","0.57185","357.08"
"1.0600","0.58375","362.78"
"1.0800","0.59589","369.12"
"1.1000","0.60799","373.74"
"1.1200","0.61994","379.94"
"1.1400","0.63188","385.54"
"1.1600","0.64380","390.49"
"1.1800","0.65609","396.91"
"1.2000","0.66802","401.70"
"1.2200","0.67951","405.94"
"1.2400","0.69127","412.87"
"1.2600","0.70329","417.84"
"1.2800","0.71547","422.86"
"1.3000","0.72758","429.58"
"1.3200","0.73937","433.49"
"1.3400","0.75119","439.47"
"1.3600","0.76337","445.24"
"1.3800","0.77517","449.06"
"1.4000","0.78674","455.15"
"1.4200","0.79846","459.55"
"1.4400","0.81016","464.82"
"1.4600","0.82214","471.03"
"1.4800","0.83404","475.07"
"1.5000","0.84579","480.73"
"1.5200","0.85773","485.96"
"1.5400","0.86972","490.67"
"1.5600","0.88175","496.73"
"1.5800","0.89379","501.10"
"1.6000","0.90565","506.50"
"1.6200","0.91755","512.52"
"1.6400","0.92983","517.27"
"1.6600","0.94172","522.37"
"1.6800","0.95346","527.00"
"1.7000","0.96530","532.26"
"1.7200","0.97716","537.73"
"1.7400","0.98930","542.64"
"1.7600","1.0014","548.04"
"1.7800","1.0133","553.04"
"1.8000","1.0254","558.53"
"1.8200","1.0374","563.18"
"1.8400","1.0492","567.84"
"1.8600","1.0610","572.91"
"1.8800","1.0727","577.25"
"1.9000","1.0844","582.46"
"1.9200","1.0965","587.26"
"1.9400","1.1082","591.96"
"1.9600","1.1198","597.35"
"1.9800","1.1316","601.94"
"2.0000","1.1436","606.65"
"2.0200","1.1554","611.86"
"2.0400","1.1670","616.68"
"2.0600","1.1788","621.30"
"2.0800","1.1910","627.06"
"2.0810","1.1916","627.33"
"2.0820","1.1922","627.59"
"2.1020","1.2044","629.70"
"2.1220","1.2111","625.69"
"2.1420","1.2100","615.74"
"2.1620","1.2033","606.78"
"2.1820","1.1970","595.99"
"2.2020","1.1876","583.85"
"2.2220","1.1738","569.19"
"2.2420","1.1589","556.21"
